{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200}
      Iter       Train Loss   Remaining Time 
         1           1.2262         1330.62m
         2           1.1786         1342.30m
         3           1.1395         1370.81m
         4           1.1070         1375.12m
         5           1.0798         1378.81m
         6           1.0569         1369.57m
         7           1.0375         1363.96m
         8           1.0211         1355.74m
         9           1.0071         1330.83m
        10           0.9951         1309.16m
        20           0.9378         1203.33m
        30           0.9242         1143.15m
        40           0.9207         1066.28m
        50           0.9196          988.90m
        60           0.9192          910.15m
        70           0.9189          834.84m
        80           0.9188          762.13m
        90           0.9187          691.06m
       100           0.9186          624.02m
       200           0.9179            0.00s
