{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200}
      Iter       Train Loss   Remaining Time 
         1           1.2262          724.98m
         2           1.1786          717.64m
         3           1.1395          712.12m
         4           1.1070          709.14m
         5           1.0798          704.66m
         6           1.0569          701.05m
         7           1.0375          698.28m
         8           1.0211          694.28m
         9           1.0071          690.83m
        10           0.9951          687.37m
        20           0.9378          655.20m
        30           0.9242          619.09m
        40           0.9207          583.18m
        50           0.9196          545.80m
        60           0.9192          506.99m
        70           0.9189          468.92m
        80           0.9188          431.68m
        90           0.9187          394.45m
       100           0.9186          359.32m
       200           0.9179            0.00s
